,Unnamed: 0,_id,designation,discovery_date,h_mag,moid_au,q_au_1,q_au_2,period_yr,i_deg,pha,orbit_class,random_no
16,16,61126de7e8219513a7dc26c7,(2015 FD341),2015-03-27T00:00:00.000,18.0,0.124,0.31,1.6,0.93,20.55,N,Aten,79
17,17,61126de7e8219513a7dc26c8,(2015 FU332),2015-03-31T00:00:00.000,17.3,0.269,0.67,4.59,4.27,36.11,N,Apollo,128
18,18,61126de7e8219513a7dc26c9,(2015 FE120),2015-03-23T00:00:00.000,21.1,0.013,1.01,3.49,3.38,22.8,Y,Apollo,177
19,19,61126de7e8219513a7dc26ca,(2015 DX198),2015-02-17T00:00:00.000,22.1,0.074,1.02,2.25,2.1,11.05,N,Amor,6
20,20,61126de7e8219513a7dc26cb,(2015 FY117),2015-03-20T00:00:00.000,21.2,0.15,1.14,2.9,2.87,24.33,N,Amor,134
21,21,61126de7e8219513a7dc26cc,(2015 AK280),2015-01-15T00:00:00.000,21.8,0.049,0.79,4.53,4.33,11.37,Y,Apollo,91
22,22,61126de7e8219513a7dc26cd,(2014 YR43),2014-12-26T00:00:00.000,19.5,0.303,0.97,4.0,3.92,26.46,N,Apollo,48
23,23,61126de7e8219513a7dc26ce,(2015 BY516),2015-01-30T00:00:00.000,22.3,0.139,0.97,3.77,3.66,12.71,N,Apollo,196
24,24,61126de7e8219513a7dc26cf,(2014 YS14),2014-12-24T00:00:00.000,21.1,0.127,0.84,4.09,3.87,18.29,N,Apollo,171
25,25,61126de7e8219513a7dc26d0,(2014 XX7),2014-12-10T00:00:00.000,19.7,0.183,1.17,4.64,4.94,36.71,N,Amor,5
26,26,61126de7e8219513a7dc26d1,(2015 AC17),2015-01-03T00:00:00.000,19.9,0.238,1.22,3.29,3.39,29.25,N,Amor,169
27,27,61126de7e8219513a7dc26d2,(2014 XQ7),2014-12-06T00:00:00.000,20.6,0.312,0.66,4.65,4.32,31.05,N,Apollo,63
28,28,61126de7e8219513a7dc26d3,(2014 XX31),2014-12-11T00:00:00.000,17.5,0.475,0.36,5.28,4.73,35.78,N,Apollo,72
29,29,61126de7e8219513a7dc26d4,(2015 AY245),2015-01-14T00:00:00.000,21.2,0.019,1.0,1.25,1.2,13.59,Y,Apollo,85
30,30,61126de7e8219513a7dc26d5,(2014 VP35),2014-11-14T00:00:00.000,23.3,0.026,0.95,1.98,1.78,9.17,N,Apollo,32
31,31,61126de7e8219513a7dc26d6,(2014 UH210),2014-10-20T00:00:00.000,21.1,0.099,0.89,4.25,4.11,22.06,N,Apollo,43
32,32,61126de7e8219513a7dc26d7,(2014 UF206),2014-10-31T00:00:00.000,18.8,0.136,1.11,3.74,3.78,48.05,N,Amor,146
33,33,61126de7e8219513a7dc26d8,(2014 UG176),2014-10-25T00:00:00.000,21.5,0.16,0.78,4.62,4.44,16.3,N,Apollo,86
34,34,61126de7e8219513a7dc26d9,(2014 TJ64),2014-10-07T00:00:00.000,21.2,0.154,1.05,4.19,4.24,14.91,N,Amor,94
35,35,61126de7e8219513a7dc26da,(2014 TW57),2014-10-10T00:00:00.000,20.1,0.062,0.57,3.78,3.21,6.75,N,Apollo,39
36,36,61126de7e8219513a7dc26db,(2014 TF64),2014-10-05T00:00:00.000,20.1,0.131,0.94,2.29,2.05,52.66,N,Apollo,71
37,37,61126de7e8219513a7dc26dc,(2014 SR339),2014-09-30T00:00:00.000,18.6,0.036,0.9,1.69,1.48,29.79,Y,Apollo,123
38,38,61126de7e8219513a7dc26dd,(2015 GJ46),2015-04-11T00:00:00.000,19.3,0.238,0.67,5.06,4.85,18.22,N,Apollo,102
39,39,61126de7e8219513a7dc26de,(2014 QK433),2014-08-28T00:00:00.000,18.2,0.18,1.19,4.78,5.16,39.22,N,Amor,141
40,40,61126de7e8219513a7dc26df,(2014 RH12),2014-09-03T00:00:00.000,23.5,0.045,1.01,3.35,3.22,7.23,N,Apollo,161
41,41,61126de7e8219513a7dc26e0,(2014 PC68),2014-08-08T00:00:00.000,20.4,0.104,1.09,1.95,1.87,40.68,N,Amor,200
42,42,61126de7e8219513a7dc26e1,(2014 PF68),2014-08-15T00:00:00.000,18.2,0.17,1.17,4.53,4.81,22.75,N,Amor,64
43,43,61126de7e8219513a7dc26e2,(2014 NE64),2014-07-07T00:00:00.000,18.8,0.39,1.2,3.01,3.06,41.63,N,Amor,99
44,44,61126de7e8219513a7dc26e3,(2014 NF3),2014-07-01T00:00:00.000,20.8,0.215,0.66,1.94,1.48,13.53,N,Apollo,115
45,45,61126de7e8219513a7dc26e4,(2014 PP69),2014-08-05T00:00:00.000,20.0,1.617,1.25,41.78,99.82,93.63,N,Amor,8
46,46,61126de7e8219513a7dc26e5,(2014 OZ1),2014-07-20T00:00:00.000,21.0,0.231,1.08,2.35,2.24,18.0,N,Amor,34
47,47,61126de7e8219513a7dc26e6,C/2014 N3 (NEOWISE),2014-07-04T00:00:00.000,,2.888,3.88,16441.51,745640.58,61.63,,Comet,16
48,48,61126de7e8219513a7dc26e7,(2014 JN57),2014-05-11T00:00:00.000,20.6,0.051,1.03,1.45,1.39,28.59,N,Amor,95
